Region,Year,Educational Attainment,Median Income
Thurston County,2014,High school,53044.0
Thurston County,2014,College,80249.0
Thurston County,2014,Bachelor,99556.0
Thurston County,2014,Graduate,142312.0
Yakima County,2014,Less than High School,40553.0
Yakima County,2014,High school,52916.0
Yakima County,2014,College,64795.0
Yakima County,2014,Bachelor,97760.0
Yakima County,2014,Graduate,116471.0
Washington,2015,Less than High School,24751.0
Washington,2015,High school,31319.0
Washington,2015,College,37293.0
Washington,2015,Bachelor,55795.0
Washington,2015,Graduate,71123.0
Whatcom County--Bellingham City,2015,Less than High School,24722.0
Whatcom County--Bellingham City,2015,High school,33003.0
Whatcom County--Bellingham City,2015,College,30113.0
Whatcom County--Bellingham City,2015,Bachelor,38748.0
Whatcom County--Bellingham City,2015,Graduate,50420.0
"Skajit, Island & San Juan Counties",2015,Less than High School,25989.0
"Skajit, Island & San Juan Counties",2015,High school,30419.0
"Skajit, Island & San Juan Counties",2015,College,35594.0
"Skajit, Island & San Juan Counties",2015,Bachelor,41591.0
"Skajit, Island & San Juan Counties",2015,Graduate,60959.0
Chelan & Douglas Counties,2015,Less than High School,25660.0
Chelan & Douglas Counties,2015,High school,26779.0
Chelan & Douglas Counties,2015,College,36674.0
Chelan & Douglas Counties,2015,Bachelor,42357.0
Chelan & Douglas Counties,2015,Graduate,62334.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2015,Less than High School,19825.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2015,High school,25031.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2015,College,31959.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2015,Bachelor,36383.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2015,Graduate,62684.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2015,Less than High School,21947.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2015,High school,30244.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2015,College,30801.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2015,Bachelor,32529.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2015,Graduate,43423.0
Grant & Kittitas Counties,2015,Less than High School,22284.0
Grant & Kittitas Counties,2015,High school,31308.0
Grant & Kittitas Counties,2015,College,34573.0
Grant & Kittitas Counties,2015,Bachelor,37485.0
Grant & Kittitas Counties,2015,Graduate,66103.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2015,Less than High School,25020.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2015,High school,31027.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2015,College,35497.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2015,Bachelor,40103.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2015,Graduate,60550.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2015,Less than High School,18899.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2015,High school,30253.0
